dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
degeb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
degrj001,2025,431,390,27,78,9,0,3,29,24,0,0,17,0,117,1,0,9,0,5,0,11,1
dejop001,2025,3550,3206,418,732,149,4,146,426,0,30,59,254,6,992,30,15,63,1,24,9,37,3
delab001,2025,1879,1744,177,437,85,2,58,209,0,15,7,110,2,473,15,4,45,3,15,59,17,9
delac001,2025,7,6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
delae003,2025,1834,1645,275,418,82,24,60,208,3,3,10,173,15,548,139,32,32,0,14,5,2,2
delaj004,2024,373,337,38,78,20,1,2,35,4,1,5,26,0,94,0,2,9,0,3,1,4,0
delca001,2025,218,200,21,54,11,0,8,36,0,2,1,15,0,75,1,1,3,0,0,28,16,1
delej003,2025,9,8,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0
deloe001,2025,6,4,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
delol003,2024,31,29,2,5,2,0,0,1,0,0,0,2,0,10,0,0,2,0,0,0,1,2
deloy001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deloz001,2024,75,67,10,14,5,0,1,5,0,0,0,8,0,21,0,1,0,0,1,1,4,0
deluj001,2025,466,431,39,102,14,7,8,41,2,0,4,29,1,98,23,6,1,0,7,5,21,9
desca001,2025,283,257,7,29,3,0,1,12,16,1,0,9,0,144,0,0,2,0,4,0,3,0
detmr001,2025,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
devac002,2025,38,36,1,5,1,0,0,1,0,0,0,2,0,21,0,1,1,0,0,0,2,0
devec001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
devej001,2024,50,45,8,11,3,0,0,5,0,1,1,3,0,12,0,0,0,0,0,0,7,3
dever001,2025,5049,4500,736,1243,289,12,243,773,1,25,40,483,68,1111,34,19,102,0,46,154,19,3
dezez001,2025,174,160,23,39,8,0,4,18,0,0,0,14,0,59,1,0,5,0,3,9,3,3
diaza003,2024,2602,2382,294,610,141,5,79,296,4,23,34,159,15,411,15,11,68,0,34,31,92,10
diaza004,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaze005,2025,2803,2575,277,635,130,4,72,328,6,17,15,190,4,556,2,2,88,0,24,28,116,1
diaze006,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
diazj007,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
